month,day,weekday,hour,power,temperature,humidity,wind,Bulb,CFL,Tubelgiht,TV,Refrigerator,Fan,Cooler,AC,Water Pump,Iron,Immersion
10,20,2,22,30,286.0,1,24,0,3,0,0,0,0,0,0,0,0,0
8,9,2,10,2810,300.0,1,33,0,0,0,0,1,3,0,1,0,1,0
3,28,6,16,1974,305.0,2,70,0,0,0,1,1,3,0,1,0,0,0
12,30,3,5,0,279.5,2,89,0,0,0,0,0,0,0,0,0,0,0
5,16,6,21,570,304.5,1,78,0,1,2,1,1,3,0,0,0,0,0
2,7,0,15,1000,280.5,1,77,0,0,0,0,0,0,0,0,0,1,0
6,14,3,6,752,299.0,0,73,0,1,1,0,1,3,0,0,1,0,0
8,8,1,0,375,297.0,2,80,0,0,2,0,1,3,0,0,0,0,0
4,12,1,22,212,305.0,0,32,0,1,1,0,1,0,0,0,0,0,0
1,18,2,0,60,277.0,0,3,0,2,1,0,0,0,0,0,0,0,0
10,8,3,9,1000,278.5,2,51,0,0,0,0,0,0,0,0,0,0,1
10,12,2,3,50,275.5,0,9,0,1,1,0,0,0,0,0,0,0,0
11,19,0,0,20,276.0,0,23,0,2,0,0,0,0,0,0,0,0,0
6,11,1,4,1869,295.0,2,49,0,2,0,0,1,3,0,1,0,0,0
7,21,6,19,2279,303.5,2,81,0,2,0,1,1,1,0,1,1,0,0
9,3,4,17,1350,282.5,0,7,0,0,0,0,0,0,0,0,1,0,1
12,14,2,6,350,277.0,1,45,0,0,0,0,0,0,0,0,1,0,0
2,15,4,0,10,275.0,1,0,0,1,0,0,0,0,0,0,0,0,0
9,2,2,15,1000,281.5,0,78,0,0,0,0,0,0,0,0,0,1,0
4,16,0,15,1740,301.5,0,62,0,0,0,0,1,2,0,1,0,0,0
10,6,1,17,2350,282.5,2,77,0,0,0,0,0,0,0,0,1,1,1
1,1,0,4,90,277.0,2,47,0,1,2,0,0,0,0,0,0,0,0
3,14,1,15,251,302.5,1,29,0,0,0,0,1,2,0,0,0,0,0
9,4,0,8,0,280.0,1,8,0,0,0,0,0,0,0,0,0,0,0
3,16,5,5,1709,299.5,1,90,0,1,0,0,1,0,0,1,0,0,0
4,26,6,21,627,306.5,2,1,0,3,2,1,1,3,0,0,0,0,0
2,29,4,23,40,288.5,0,63,0,4,0,0,0,0,0,0,0,0,0
3,3,1,4,241,298.0,2,84,0,2,0,0,1,1,0,0,0,0,0
12,17,4,7,1350,278.5,2,74,0,0,0,0,0,0,0,0,1,1,0
8,5,3,15,2662,300.5,2,19,0,0,0,0,1,1,0,1,0,1,0
1,2,0,5,100,277.5,2,19,0,2,2,0,0,0,0,0,0,0,0
4,26,3,16,1794,302.0,0,23,0,0,0,0,1,3,0,1,0,0,0
4,8,3,6,731,300.0,0,97,0,3,1,0,1,3,0,0,1,0,0
8,6,1,22,1709,305.0,0,72,0,3,1,0,1,0,0,1,0,0,0
6,17,2,6,555,299.0,0,95,0,3,0,0,1,0,0,0,1,0,0
7,29,5,22,390,306.0,1,72,0,0,1,1,1,1,0,0,0,0,0
8,23,5,0,463,295.0,2,64,0,2,1,0,1,4,0,0,0,0,0
11,13,2,16,1000,285.0,2,77,0,0,0,0,0,0,0,0,0,0,1
3,16,5,6,2297,299.0,1,30,0,4,2,0,1,3,0,1,1,0,0
5,26,4,9,1202,298.5,0,71,0,0,0,0,1,1,0,0,0,1,0
4,16,0,19,823,305.5,0,24,0,0,1,0,1,4,0,0,1,0,0
1,14,3,9,1000,277.5,2,84,0,0,0,0,0,0,0,0,0,0,1
7,2,6,1,295,293.5,2,21,0,1,0,0,1,2,0,0,0,0,0
10,10,5,16,150,285.0,1,23,0,0,0,1,0,0,0,0,0,0,0
9,18,2,3,30,275.5,1,14,0,3,0,0,0,0,0,0,0,0,0
9,19,5,22,190,284.0,2,4,0,4,0,1,0,0,0,0,0,0,0
8,28,2,14,2757,303.0,0,22,0,0,0,0,1,1,0,1,0,1,0
9,7,1,20,170,287.0,1,43,0,2,0,1,0,0,0,0,0,0,0
11,21,2,1,70,277.5,1,25,0,3,1,0,0,0,0,0,0,0,0
4,8,5,23,1984,306.5,2,82,0,3,2,1,1,2,0,1,0,0,0
5,12,2,14,2917,302.0,0,85,0,0,0,0,1,4,0,1,0,1,0
2,19,6,9,2150,277.5,2,62,0,0,0,1,0,0,0,0,0,1,1
9,16,3,9,1000,281.5,0,22,0,0,0,0,0,0,0,0,0,0,1
6,5,5,20,2108,304.0,2,80,0,2,0,1,1,4,0,1,0,0,0
12,1,2,4,120,276.0,0,8,0,4,2,0,0,0,0,0,0,0,0
5,27,5,16,1491,304.0,1,21,0,0,0,1,1,3,0,0,0,1,0
3,23,0,20,496,307.0,2,40,0,2,2,1,1,2,0,0,0,0,0
11,11,3,3,90,274.5,2,27,0,1,2,0,0,0,0,0,0,0,0
2,30,4,9,0,278.5,2,3,0,0,0,0,0,0,0,0,0,0,0
11,14,2,9,2000,277.5,1,10,0,0,0,0,0,0,0,0,0,1,1
2,30,6,8,1150,280.0,2,77,0,0,0,1,0,0,0,0,0,1,0
11,23,2,18,1000,283.0,2,14,0,0,0,0,0,0,0,0,0,0,1
9,9,6,2,90,275.0,0,62,0,1,2,0,0,0,0,0,0,0,0
3,22,0,16,254,305.0,1,92,0,0,0,0,1,1,0,0,0,0,0
1,18,1,6,390,276.0,2,2,0,0,1,0,0,0,0,0,1,0,0
8,25,6,9,1492,298.5,1,91,0,0,0,1,1,3,0,0,0,1,0
9,14,1,20,190,285.0,0,48,0,4,0,1,0,0,0,0,0,0,0
7,17,6,12,420,299.0,0,94,0,0,0,1,1,2,0,0,0,0,0
3,5,1,3,1726,298.5,1,21,0,4,0,0,1,0,0,1,0,0,0
7,9,6,16,2928,302.0,1,75,0,0,0,1,1,2,0,1,0,1,0
5,17,2,8,1354,298.0,1,35,0,0,0,0,1,4,0,0,0,1,0
7,22,6,7,794,299.5,2,3,0,0,0,1,1,3,0,0,1,0,0
7,24,3,0,295,293.0,2,63,0,1,2,0,1,1,0,0,0,0,0
2,26,4,13,2000,280.5,0,60,0,0,0,0,0,0,0,0,0,1,1
7,24,5,3,498,298.5,0,5,0,4,2,0,1,4,0,0,0,0,0
7,10,6,11,456,299.5,1,56,0,0,0,1,1,3,0,0,0,0,0
2,8,0,23,60,288.5,0,72,0,2,1,0,0,0,0,0,0,0,0
5,8,2,10,2675,300.0,1,21,0,0,0,0,1,1,0,1,0,1,0
6,30,3,18,2896,303.0,1,41,0,0,0,0,1,4,0,1,0,1,0
1,14,1,0,120,276.0,2,73,0,4,2,0,0,0,0,0,0,0,0
12,26,5,9,2150,279.5,2,36,0,0,0,1,0,0,0,0,0,1,1
6,30,1,22,366,308.0,0,94,0,3,2,0,1,1,0,0,0,0,0
12,23,3,22,90,286.0,1,11,0,1,2,0,0,0,0,0,0,0,0
5,15,2,18,235,303.0,1,48,0,0,0,0,1,1,0,0,0,0,0
10,11,6,16,150,282.0,2,49,0,0,0,1,0,0,0,0,0,0,0
9,2,2,14,2000,281.0,2,97,0,0,0,0,0,0,0,0,0,1,1
7,16,2,3,1764,297.5,2,33,0,1,2,0,1,0,0,1,0,0,0
7,13,0,20,1956,307.0,0,6,0,0,2,1,1,1,0,1,0,0,0
10,13,3,18,2000,284.0,1,13,0,0,0,0,0,0,0,0,0,1,1
11,24,1,20,270,287.0,2,19,0,4,2,1,0,0,0,0,0,0,0
6,23,6,8,332,299.0,0,16,0,0,0,1,1,1,0,0,0,0,0
7,13,4,6,2276,297.0,1,68,0,2,2,0,1,3,0,1,1,0,0
6,3,2,19,2206,305.5,0,28,0,4,2,0,1,2,0,1,1,0,0
12,16,6,14,1150,283.0,2,86,0,0,0,1,0,0,0,0,0,0,1
9,25,6,0,30,276.0,1,34,0,3,0,0,0,0,0,0,0,0,0
6,10,2,18,1243,306.0,0,28,0,0,0,0,1,2,0,0,0,1,0
10,8,3,7,350,277.5,1,22,0,0,0,0,0,0,0,0,1,0,0
12,3,5,7,2500,276.5,0,57,0,0,0,1,0,0,0,0,1,1,1
10,8,0,12,1000,279.0,0,83,0,0,0,0,0,0,0,0,0,0,1
1,3,6,10,2150,280.0,0,43,0,0,0,1,0,0,0,0,0,1,1
10,29,3,6,410,278.0,1,11,0,2,1,0,0,0,0,0,1,0,0
5,29,1,12,1292,302.0,1,40,0,0,0,0,1,2,0,0,0,1,0
5,1,6,15,3004,302.5,0,38,0,0,0,1,1,4,0,1,0,1,0
7,26,1,17,2166,305.5,0,58,0,0,0,0,1,2,0,1,1,0,0
12,15,6,2,0,274.0,0,4,0,0,0,0,0,0,0,0,0,0,0
10,26,0,12,1000,283.0,0,19,0,0,0,0,0,0,0,0,0,1,0
10,9,3,12,0,279.0,1,92,0,0,0,0,0,0,0,0,0,0,0
4,18,0,13,2731,303.5,1,58,0,0,0,0,1,1,0,1,0,1,0
12,14,3,0,0,274.0,2,95,0,0,0,0,0,0,0,0,0,0,0
2,28,4,1,0,275.5,0,5,0,0,0,0,0,0,0,0,0,0,0
4,21,2,23,476,307.5,2,59,0,3,2,0,1,3,0,0,0,0,0
12,14,6,13,150,279.5,0,27,0,0,0,1,0,0,0,0,0,0,0
4,8,5,0,1886,296.0,0,70,0,1,2,0,1,2,0,1,0,0,0
12,2,3,14,2000,281.0,0,30,0,0,0,0,0,0,0,0,0,1,1
2,28,0,6,470,279.0,2,76,0,4,2,0,0,0,0,0,1,0,0
8,7,3,7,1732,299.5,2,49,0,0,0,0,1,4,0,0,1,1,0
11,10,1,16,1000,283.0,1,48,0,0,0,0,0,0,0,0,0,1,0
12,28,0,11,1000,278.5,1,21,0,0,0,0,0,0,0,0,0,0,1
12,5,6,6,370,279.0,2,55,0,2,0,0,0,0,0,0,1,0,0
4,21,4,4,466,299.0,1,3,0,4,0,0,1,4,0,0,0,0,0
2,10,4,17,1350,284.5,0,20,0,0,0,0,0,0,0,0,1,0,1
4,30,3,20,2204,307.0,0,67,0,4,2,1,1,4,0,1,0,0,0
6,28,1,0,265,295.0,1,79,0,1,0,0,1,1,0,0,0,0,0
2,14,4,8,2000,280.0,1,59,0,0,0,0,0,0,0,0,0,1,1
12,5,1,23,70,284.5,1,18,0,3,1,0,0,0,0,0,0,0,0
6,11,2,22,1959,306.0,1,47,0,3,1,0,1,4,0,1,0,0,0
10,20,4,18,1000,285.0,1,61,0,0,0,0,0,0,0,0,0,1,0
9,17,2,11,1000,280.5,2,29,0,0,0,0,0,0,0,0,0,1,0
3,30,0,6,662,297.0,1,27,0,3,2,0,1,1,0,0,1,0,0
6,21,5,15,3002,301.5,0,97,0,0,0,1,1,3,0,1,0,1,0
7,25,5,7,1800,298.5,1,95,0,0,0,1,1,2,0,0,1,1,0
4,18,3,5,1689,298.5,0,60,0,1,0,0,1,1,0,1,0,0,0
3,1,2,6,673,298.0,1,27,0,0,1,0,1,2,0,0,1,0,0
10,27,0,12,1000,281.0,2,71,0,0,0,0,0,0,0,0,0,0,1
7,26,6,16,429,302.0,0,96,0,0,0,1,1,2,0,0,0,0,0
2,29,6,12,150,280.0,0,56,0,0,0,1,0,0,0,0,0,0,0
4,3,3,10,1225,302.0,1,31,0,0,0,0,1,2,0,0,0,1,0
10,26,0,10,1000,280.0,1,23,0,0,0,0,0,0,0,0,0,0,1
2,11,0,2,40,275.0,0,57,0,4,0,0,0,0,0,0,0,0,0
12,30,1,11,2000,280.5,0,71,0,0,0,0,0,0,0,0,0,1,1
11,18,1,15,1000,281.5,2,13,0,0,0,0,0,0,0,0,0,1,0
9,4,5,12,2150,280.0,0,56,0,0,0,1,0,0,0,0,0,1,1
6,27,2,5,1913,298.5,2,70,0,2,2,0,1,2,0,1,0,0,0
3,3,6,7,3269,299.5,2,7,0,0,0,1,1,2,0,1,1,1,0
7,19,1,1,285,295.5,1,82,0,3,2,0,1,0,0,0,0,0,0
9,24,0,19,440,286.5,1,14,0,1,2,0,0,0,0,0,1,0,0
11,10,5,19,580,285.5,0,65,0,0,2,1,0,0,0,0,1,0,0
6,22,1,11,210,300.5,2,56,0,0,0,0,1,1,0,0,0,0,0
5,4,3,2,1840,295.0,2,7,0,2,1,0,1,3,0,1,0,0,0
6,16,4,19,2249,304.5,0,45,0,1,2,0,1,2,0,1,1,0,0
9,25,5,20,260,284.0,0,8,0,3,2,1,0,0,0,0,0,0,0
3,6,5,10,1521,298.0,2,21,0,0,0,1,1,4,0,0,0,1,0
3,25,4,14,2817,303.0,0,4,0,0,0,0,1,2,0,1,0,1,0
10,24,0,10,2000,282.0,0,73,0,0,0,0,0,0,0,0,0,1,1
1,25,6,12,2150,280.0,1,59,0,0,0,1,0,0,0,0,0,1,1
7,26,1,13,2790,300.5,2,4,0,0,0,0,1,3,0,1,0,1,0
4,8,6,5,1744,297.5,0,54,0,2,0,0,1,2,0,1,0,0,0
3,11,6,14,1355,303.0,2,86,0,0,0,1,1,1,0,0,0,1,0
7,16,5,23,427,304.5,0,14,0,1,2,1,1,1,0,0,0,0,0
4,21,5,14,1931,301.0,0,72,0,0,0,1,1,2,0,1,0,0,0
12,20,5,21,250,287.5,2,18,0,2,2,1,0,0,0,0,0,0,0
4,11,1,4,329,299.0,2,73,0,4,0,0,1,3,0,0,0,0,0
8,29,5,1,295,295.5,0,69,0,1,2,0,1,1,0,0,0,0,0
8,19,2,22,253,306.0,0,53,0,2,1,0,1,0,0,0,0,0,0
5,19,1,19,2243,302.5,2,18,0,3,2,0,1,3,0,1,1,0,0
6,29,6,0,1752,294.0,0,3,0,3,1,0,1,1,0,1,0,0,0
2,8,6,21,160,284.5,2,97,0,1,0,1,0,0,0,0,0,0,0
9,1,4,3,100,275.5,0,25,0,2,2,0,0,0,0,0,0,0,0
3,26,1,9,2742,298.5,1,46,0,0,0,0,1,1,0,1,0,1,0
3,22,6,3,224,294.5,1,43,0,0,0,0,1,1,0,0,0,0,0
4,5,2,0,283,295.0,0,73,0,2,1,0,1,1,0,0,0,0,0
9,7,3,17,350,283.5,1,92,0,0,0,0,0,0,0,0,1,0,0
4,25,5,1,1809,294.5,1,6,0,2,0,0,1,2,0,1,0,0,0
3,23,3,3,351,297.5,1,47,0,2,1,0,1,2,0,0,0,0,0
1,16,1,8,2000,280.0,2,34,0,0,0,0,0,0,0,0,0,1,1
1,29,6,5,0,279.5,0,23,0,0,0,0,0,0,0,0,0,0,0
12,11,5,9,1150,280.5,2,32,0,0,0,1,0,0,0,0,0,1,0
7,26,6,2,162,295.0,2,14,0,1,1,0,1,0,0,0,0,0,0
7,30,2,11,2786,301.5,0,29,0,0,0,0,1,3,0,1,0,1,0
8,16,3,17,1518,305.5,0,1,0,0,0,0,1,1,0,0,1,1,0
11,6,6,10,150,278.0,1,82,0,0,0,1,0,0,0,0,0,0,0
9,7,3,10,0,279.0,1,55,0,0,0,0,0,0,0,0,0,0,0
6,9,3,2,406,297.0,2,74,0,2,1,0,1,3,0,0,0,0,0
5,2,2,8,2680,300.0,0,49,0,0,0,0,1,1,0,1,0,1,0
1,23,3,4,90,277.0,0,52,0,1,2,0,0,0,0,0,0,0,0
5,18,4,3,1705,294.5,2,75,0,0,1,0,1,0,0,1,0,0,0
7,7,6,20,1909,305.0,1,24,0,2,1,1,1,1,0,1,0,0,0
3,16,0,15,1205,301.5,2,45,0,0,0,0,1,1,0,0,0,1,0
9,13,0,1,110,274.5,0,17,0,3,2,0,0,0,0,0,0,0,0
9,29,1,9,2000,279.5,0,74,0,0,0,0,0,0,0,0,0,1,1
12,30,3,22,50,284.0,2,1,0,1,1,0,0,0,0,0,0,0,0
11,4,3,9,0,277.5,1,43,0,0,0,0,0,0,0,0,0,0,0
6,2,6,11,2897,302.5,1,79,0,0,0,1,1,2,0,1,0,1,0
9,3,2,10,1000,278.0,1,5,0,0,0,0,0,0,0,0,0,0,1
10,6,0,16,0,284.0,1,79,0,0,0,0,0,0,0,0,0,0,0
1,13,3,5,80,275.5,2,4,0,4,1,0,0,0,0,0,0,0,0
2,7,5,6,460,276.0,2,31,0,3,2,0,0,0,0,0,1,0,0
5,20,5,15,1389,301.5,2,21,0,0,0,1,1,2,0,0,0,1,0
10,13,2,1,0,273.5,2,48,0,0,0,0,0,0,0,0,0,0,0
2,11,4,11,2000,279.5,1,79,0,0,0,0,0,0,0,0,0,1,1
11,26,2,12,2000,283.0,2,93,0,0,0,0,0,0,0,0,0,1,1
4,15,0,2,414,296.0,2,68,0,2,0,0,1,4,0,0,0,0,0
9,30,1,11,2000,278.5,1,81,0,0,0,0,0,0,0,0,0,1,1
5,9,0,17,3113,304.5,0,53,0,0,0,0,1,2,0,1,1,1,0
6,8,2,12,1850,299.0,1,28,0,0,0,0,1,3,0,1,0,0,0
9,29,4,13,2000,282.5,0,33,0,0,0,0,0,0,0,0,0,1,1
4,26,5,1,331,296.5,1,31,0,3,2,0,1,1,0,0,0,0,0
10,19,4,6,390,278.0,2,61,0,0,1,0,0,0,0,0,1,0,0
5,2,1,5,396,297.5,1,81,0,2,2,0,1,2,0,0,0,0,0
7,30,3,6,809,296.0,0,23,0,2,2,0,1,4,0,0,1,0,0
6,12,3,11,1834,302.5,1,36,0,0,0,0,1,3,0,1,0,0,0
9,28,5,13,1150,279.5,1,23,0,0,0,1,0,0,0,0,0,0,1
7,27,1,10,2799,301.0,0,10,0,0,0,0,1,3,0,1,0,1,0
8,3,2,12,1887,303.0,1,28,0,0,0,0,1,4,0,1,0,0,0
8,2,0,15,355,300.5,0,83,0,0,0,0,1,3,0,0,0,0,0
7,16,3,15,1783,300.5,0,55,0,0,0,0,1,2,0,1,0,0,0
8,14,1,21,2059,303.5,0,98,0,2,2,1,1,2,0,1,0,0,0
5,2,6,9,1585,297.5,2,31,0,0,0,1,1,4,0,0,0,1,0
3,1,4,5,205,296.5,2,5,0,4,1,0,1,0,0,0,0,0,0
7,6,6,13,1378,299.5,1,46,0,0,0,1,1,1,0,0,0,1,0
7,3,1,10,294,301.0,1,95,0,0,0,0,1,3,0,0,0,0,0
3,10,1,1,1974,294.5,2,18,0,1,2,0,1,4,0,1,0,0,0
6,24,1,13,1678,299.5,0,39,0,0,0,0,1,1,0,1,0,0,0
10,7,3,18,1000,286.0,2,7,0,0,0,0,0,0,0,0,0,0,1
2,25,1,3,10,276.5,0,98,0,1,0,0,0,0,0,0,0,0,0
10,18,1,19,430,284.5,1,99,0,4,1,0,0,0,0,0,1,0,0
9,19,6,5,60,275.5,2,33,0,2,1,0,0,0,0,0,0,0,0
11,11,5,12,1150,283.0,0,96,0,0,0,1,0,0,0,0,0,1,0
3,9,6,20,1850,307.0,2,77,0,0,1,1,1,1,0,1,0,0,0
1,16,4,13,0,281.5,1,77,0,0,0,0,0,0,0,0,0,0,0
2,5,1,0,80,273.0,0,4,0,4,1,0,0,0,0,0,0,0,0
7,22,3,0,199,295.0,1,53,0,1,0,0,1,0,0,0,0,0,0
7,15,3,21,485,305.5,2,64,0,2,1,1,1,2,0,0,0,0,0
4,6,6,9,1417,297.5,1,88,0,0,0,1,1,2,0,0,0,1,0
12,24,0,5,90,276.5,1,89,0,1,2,0,0,0,0,0,0,0,0
9,22,6,12,150,279.0,2,46,0,0,0,1,0,0,0,0,0,0,0
3,21,0,4,1890,297.0,0,79,0,4,2,0,1,2,0,1,0,0,0
7,9,0,6,597,298.0,2,91,0,2,2,0,1,0,0,0,1,0,0
